username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WMN4SRVL;2015-12-02 05:05;0;0;"A Major Indian City has Been Underwater For a Month Now #ChennaiFloods http:// ln.is/qz.com/562779/ BejCS via @qzindia";;@qzindia;#ChennaiFloods;"671835043409580032";https://twitter.com/WMN4SRVL/status/671835043409580032
mohan_sakthivel;2015-12-02 05:03;1;1;"Couldn't sleep when my friends ,brothers and sisters in #Chennai r suffering #chennairains #ChennaiFloods #ChennaiRescue #ChennaiRainHelps";;;#Chennai #chennairains #ChennaiFloods #ChennaiRescue #ChennaiRainHelps;"671834559009304577";https://twitter.com/mohan_sakthivel/status/671834559009304577
ThoughtsTalks;2015-12-02 05:00;0;0;"Stay Safe #Chennai , #PrayforChennai #chennairains #ChennaiFloods pic.twitter.com/ixksqHTCGH";;;#Chennai #PrayforChennai #chennairains #ChennaiFloods;"671833694538039296";https://twitter.com/ThoughtsTalks/status/671833694538039296
ChennaiRains;2015-12-02 04:59;49;17;"Stay Safe Chennai, Rains are expected to continue with heavy spells at times #chennairains #ChennaiFloods pic.twitter.com/9XIfT804dy";;;#chennairains #ChennaiFloods;"671833492846587904";https://twitter.com/ChennaiRains/status/671833492846587904
sankararaman;2015-12-02 04:55;0;0;"Much needed news for people reeling in #ChennaiFloods https:// twitter.com/firstpost/stat us/671831903314440192 ";;;#ChennaiFloods;"671832429049438209";https://twitter.com/sankararaman/status/671832429049438209
sreeni94;2015-12-02 04:54;5;0;"Please Trend this Post .... Very Important ... Places to stay https:// web.facebook.com/sreeni94/posts /1172359692777544 #ChennaiFloods #chennairains #ChennaiHelps";;;#ChennaiFloods #chennairains #ChennaiHelps;"671832175017254912";https://twitter.com/sreeni94/status/671832175017254912
gowthamvelan;2015-12-02 04:49;1;0;"Guys still raining #chennairains #ChennaiFloods #chennaiweather #ChennaiRainsHelp";;;#chennairains #ChennaiFloods #chennaiweather #ChennaiRainsHelp;"671831070254301185";https://twitter.com/gowthamvelan/status/671831070254301185
muralibe;2015-12-02 04:49;1;0;"Chennai City Disconnected #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671830976914296832";https://twitter.com/muralibe/status/671830976914296832
dillidikudii;2015-12-02 04:47;3;0;"Anyone with help or requests tweet with #ChennaiRains #ChennaiRescue #ChennaiFloods #chennaiweather #Chennaifloodrelief Thanks, Stay safe.";;;#ChennaiRains #ChennaiRescue #ChennaiFloods #chennaiweather #Chennaifloodrelief;"671830628246028290";https://twitter.com/dillidikudii/status/671830628246028290
bull500;2015-12-02 04:47;2;0;"Use tags #helpneeded or #helpoffered to better coordinate the efforts! #chennairains #ChennaiFloods";;;#helpneeded #helpoffered #chennairains #ChennaiFloods;"671830561644654592";https://twitter.com/bull500/status/671830561644654592
