username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink
starbharath	01-12-2015 14:01	0	0	"@IamKanal Our song dedication on #Chennaifloods letz help each other"" share and support this cause https://www. youtube.com/watch?v=B_055D whev4 """		@IamKanal	#Chennaifloods	671607522311016448	https://twitter.com/starbharath/status/671607522311016448
surbhig2701	01-12-2015 14:00	4	0	#Chennai rains carry on					
chetansaini1991	01-12-2015 13:59	3	2	#chennairains #chennaifloods @SkymetWeather https:// twitter.com/uththra/status /671605616461221888 		@SkymetWeather	#chennairains #chennaifloods	671607120828043264	https://twitter.com/chetansaini1991/status/671607120828043264
tamilcinemahub	01-12-2015 13:59	6	0	Flood alert issued by #chennai collector | Be safe all | #chennairains #ChennaiFloods pic.twitter.com/0LUBqWHd3m			#chennai #chennairains #ChennaiFloods	671606950006685696	https://twitter.com/tamilcinemahub/status/671606950006685696
YesDee_Dilip	01-12-2015 13:57	2	1	Mini Subs - Chennai's new transport system. #chennairains #ChennaiFloods pic.twitter.com/LmsfNzPJHA			#chennairains #ChennaiFloods	671606621391347712	https://twitter.com/YesDee_Dilip/status/671606621391347712
Prince_offl	01-12-2015 13:57	0	0	 .. #ChennaiFloods			#ChennaiFloods	671606545537363969	https://twitter.com/Prince_offl/status/671606545537363969
hariprasath_hp	01-12-2015 13:57	0	0	#ChennaiFloods Rainfall reducing right now will it increase or that's it Answers Please @the_hindu @timesofindia @ndtv		@the_hindu @timesofindia @ndtv	#ChennaiFloods	671606533361377280	https://twitter.com/hariprasath_hp/status/671606533361377280
theMoinul	01-12-2015 13:56	0	0	#WWT20Q #PAKvENG #ENGvPAK #ICC #BPL2015 #BPLT20 #Women #T20 #KnowAIDSNoAIDS #Sofy #ChennaiFloods #benegative https:// twitter.com/BCBtigers/stat us/671605057926922240 			#WWT20Q #PAKvENG #ENGvPAK #ICC #BPL2015 #BPLT20 #Women #T20 #KnowAIDSNoAIDS #Sofy #ChennaiFloods #benegative	671606161594974208	https://twitter.com/theMoinul/status/671606161594974208
hafij2683	01-12-2015 13:55	0	0	dw_bengali: RT TheHindu: As heavy rains lash #chennai 					
Achu_SFC	01-12-2015 13:55	3	2	@Manivj07 Chembarabakkam Lake 20					
Sunny_75	01-12-2015 13:54	1	0	May God help the people of #Chennai ! Stay safe and take care everyone in Chennai. #ChennaiFloods #chennairains https:// twitter.com/TheHindu/statu s/671604684684038144 	Sydney				
NutStoreIndia	01-12-2015 13:54	1	0	#NuttyQuotes Save a boyfriend for a rainy day - and another					
starbharath	01-12-2015 13:54	1	0	"@g_for_Guru Our song dedication on #Chennaifloods letz help each other"" share and support this cause https://www. youtube.com/watch?v=B_055D whev4 """		@g_for_Guru	#Chennaifloods	671605796736663552	https://twitter.com/starbharath/status/671605796736663552
Harikishore23	01-12-2015 13:53	0	0	#chennairains #chennaiweather #ChennaiFloods https:// twitter.com/bbcweather/sta tus/671267695803895808 			#chennairains #chennaiweather #ChennaiFloods	671605554364571648	https://twitter.com/Harikishore23/status/671605554364571648
chetansaini1991	01-12-2015 13:53	0	0	#chennairains #ChennaiFloods https:// twitter.com/imprasath/stat us/671604925453963264 			#chennairains #ChennaiFloods	671605469773889537	https://twitter.com/chetansaini1991/status/671605469773889537
Prince_offl	01-12-2015 13:53	0	0	 ?? 					
ganesan_deepak	01-12-2015 13:52	0	0	#ChennaiFloods https:// twitter.com/Actor_Siddhart h/status/671604983163305985 			#ChennaiFloods	671605303280992256	https://twitter.com/ganesan_deepak/status/671605303280992256
maheshkumarse	01-12-2015 13:52	2	4	#Chennai guys who went to ofce pls stay back at ofce or at nearby hotels.. Stay safe... #ChennaiRains #ChennaiFloods #ChennaiRainsUpdates			#Chennai #ChennaiRains #ChennaiFloods #ChennaiRainsUpdates	671605196724678656	https://twitter.com/maheshkumarse/status/671605196724678656
monutweetstasty	01-12-2015 13:51	2	2	Chennai is not underwater Chennai is water #ChennaiFloods			#ChennaiFloods	671605053149413376	https://twitter.com/monutweetstasty/status/671605053149413376
ChennaiMazhai	01-12-2015 13:50	0	0	Avadi residential area flooded with water feet high! Few pics here #chennaimazhai #chennairains #chennaifloods pic.twitter.com/7L07Icr7a5			#chennaimazhai #chennairains #chennaifloods	671604697354997760	https://twitter.com/ChennaiMazhai/status/671604697354997760
TheHindu	01-12-2015 13:50	18	19	As heavy rains lash #chennai 					
Madrassan	01-12-2015 13:49	0	1	CIT Colony Chennai. #ChennaiRains #TNRains #ChennaiFloods @NewsNationTV pic.twitter.com/yVVRaEehGz		@NewsNationTV	#ChennaiRains #TNRains #ChennaiFloods	671604551141605376	https://twitter.com/Madrassan/status/671604551141605376
mahiban4u	01-12-2015 13:49	0	1	#Intolerance is wen U kno HELP ain't coming					
ArunPrat	01-12-2015 13:47	0	1	Chembarambakkam likely to release 12000 tmc in a while..stay strong n help each other people! #chennaiweather #ChennaiFloods #ChennaiRains			#chennaiweather #ChennaiFloods #ChennaiRains	671604095539527680	https://twitter.com/ArunPrat/status/671604095539527680
S_S_Saravanan	01-12-2015 13:47	0	1	 1 . #ChennaiFloods #chennairains			#ChennaiFloods #chennairains	671604071497793536	https://twitter.com/S_S_Saravanan/status/671604071497793536
mohan_kumar	01-12-2015 13:47	0	0	#ChennaiFloods #ChennaiDrowning https:// twitter.com/gopusg/status/ 671603391894716416 			#ChennaiFloods #ChennaiDrowning	671603905344614400	https://twitter.com/mohan_kumar/status/671603905344614400
ManasaKumar	01-12-2015 13:46	0	0	Chennai is going to get flooded soon at this rate! Incessant rains #Chennairains #ChennaiFloods			#Chennairains #ChennaiFloods	671603791339216896	https://twitter.com/ManasaKumar/status/671603791339216896
PK_Says	01-12-2015 13:44	0	0	Taxi Taxi everywhere. No one willing 2 go anywhere!. Pay minimum Rs 1000 and hey Taxi just became Boat ready 2 go everywhere #ChennaiFloods			#ChennaiFloods	671603370579197956	https://twitter.com/PK_Says/status/671603370579197956
chetansaini1991	01-12-2015 13:44	2	0	@SkymetWeather #chennairains #ChennaiFloods https:// twitter.com/Perichali1/sta tus/671602708705443840 		@SkymetWeather	#chennairains #ChennaiFloods	671603249187676161	https://twitter.com/chetansaini1991/status/671603249187676161
Gaadfather	01-12-2015 13:43	0	0	OMR Property - 80 lakhs River view - Priceless #Chennairains #ChennaiFloods http:// twitter.com/karthipkk87/st atus/671596192866832384?s=09 			#Chennairains #ChennaiFloods	671603103594995712	https://twitter.com/Gaadfather/status/671603103594995712
scycer	01-12-2015 13:42	1	0	Why Chennai Was Flooded. Warnings Were Ignored - NDTV http://www. ndtv.com/chennai-news/w hy-chennai-was-flooded-warnings-were-ignored-1248276 #chennairains #chennaifloods			#chennairains #chennaifloods	671602871834513409	https://twitter.com/scycer/status/671602871834513409
azhagi_	01-12-2015 13:42	2	1	Coovum					
Perichali1	01-12-2015 13:42	2	0	#SinkAgaraChennai 					
Prince_offl	01-12-2015 13:41	0	0	 #ChennaiFloods			#ChennaiFloods	671602382749364224	https://twitter.com/Prince_offl/status/671602382749364224
anandakonar	01-12-2015 13:39	5	1	#PTRajanSalai #KKNagar Flooded #ChennaiFloods #ChennaiRains pic.twitter.com/dPllq8YsOZ			#PTRajanSalai #KKNagar #ChennaiFloods #ChennaiRains	671601888605769728	https://twitter.com/anandakonar/status/671601888605769728
Prince_offl	01-12-2015 13:38	0	0	JCB .. #ChennaiFloods pic.twitter.com/ELzElMWsf5			#ChennaiFloods	671601803499208704	https://twitter.com/Prince_offl/status/671601803499208704
SkymetWeather	01-12-2015 13:38	4	0	#chennairains #ChennaiWeather #ChennaiFloods https:// twitter.com/kingashy/statu s/671601245090480128 			#chennairains #ChennaiWeather #ChennaiFloods	671601748889362432	https://twitter.com/SkymetWeather/status/671601748889362432
anandakonar	01-12-2015 13:37	1	0	#Virugambakkam flooded					
azhagi_	01-12-2015 13:35	3	4	 					
KollywoodMedia	01-12-2015 13:35	12	6	Olymp tech park n guindy rght nw #ChennaiDrowning #ChennaiFloods #chennairains #chennaiunderwater @sri50@Actor_Vivek pic.twitter.com/EimG3Kc5N3		@sri50 @Actor_Vivek	#ChennaiDrowning #ChennaiFloods #chennairains #chennaiunderwater	671601093994872833	https://twitter.com/KollywoodMedia/status/671601093994872833
being_delhite	01-12-2015 13:35	0	0	"Wow What i thought was a Gutter happens to have a Name Adyar RIver"" & is Currently Flooded"					
maheshkumarse	01-12-2015 13:35	0	1	#Chennai Electric trains are cancelled #Pallavaram ... #chennairains #ChennaiFloods			#Chennai #Pallavaram #chennairains #ChennaiFloods	671601043554234368	https://twitter.com/maheshkumarse/status/671601043554234368
bgkRaj	01-12-2015 13:35	0	0	#chennairains #ChennaiFloods 					
Nithyanandam06	01-12-2015 13:35	0	0	#chennairains #chennai #chennaifloods #rescueanimals #floodeverywhere Please try to rescue D voiceless creatures if u happen to see any			#chennairains #chennai #chennaifloods #rescueanimals #floodeverywhere	671600977372319744	https://twitter.com/Nithyanandam06/status/671600977372319744
rsreenivaas	01-12-2015 13:35	1	0	Amidst of these heavy rains .. People are working to fix the roads to help us commute easily. Hats off .. #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671600973605834752	https://twitter.com/rsreenivaas/status/671600973605834752
